Countries,rank,currency,salary_women,degree_women,degree_men,labor_force_women,labor_force_men,senior_officials_women,senior_officials_men,mps_women,mps_men,ministers_women,ministers_men
Spain,25,&#128;,0.914,56.15401,43.84599,68.30000305,79.90000153,30.88291993,69.11708007,41.14285714,58.85714286,30.76923077,69.23076923
Sri Lanka,84,&#36;,,57.6096,42.3904,38.79999924,81.09999847,24.17061611,75.82938389,4.888888889,95.11111111,7.142857143,92.85714286
Suriname,94,&#36;,,,,44.79999924,73.5,35.71428571,64.28571429,25.49019608,74.50980392,5.555555556,94.44444444
Swaziland,102,&#36;,,38.77228,61.22772,45.40000153,72.90000153,,,6.153846154,93.84615385,26.31578947,73.68421053
Sweden,4,&#128;,0.849,61.58085,38.41915,78.59999847,83.19999695,37.13638081,62.90139781,43.5530086,56.4469914,52.17391304,47.82608696
Switzerland,8,&#128;,0.815,48.25233,51.74767,78,88.5,33.84375811,66.15624189,30.5,69.5,42.85714286,57.14285714
Syria,143,&#36;,,56.15225,43.84775,14.30000019,76,8.990011099,91.0099889,12.4,87.6,5.882352941,94.11764706
Tajikistan,95,&#36;,,38.0336,61.9664,61.70000076,79.80000305,,,19.04761905,80.95238095,11.11111111,88.88888889
Tanzania,49,&#36;,,,,89.90000153,91.09999847,16.34615385,83.33333333,36,64,32.25806452,67.74193548
Thailand,60,&#36;,,57.08309,42.91691,70.90000153,85.90000153,38.59769993,61.40230007,6.091370558,93.90862944,4.166666667,95.83333333
The Gambia,98,&#36;,,,,72.80000305,82.80000305,37.5,66.66666667,9.433962264,90.56603774,21.05263158,78.94736842
Trinidad and Tobago,46,&#36;,,,,59.70000076,82.40000153,43.54561102,56.45438898,28.57142857,71.42857143,9.677419355,90.32258065
Tunisia,127,&#36;,,65.90086,34.09914,27.29999924,75.5,14.74029013,85.25970987,31.33640553,68.66359447,10.52631579,89.47368421
Turkey,130,&#36;,0.799,47.14325,52.85675,32.20000076,75.59999847,13.36268,86.63732,17.81818182,82.18181818,4,96
Uganda,58,&#36;,,,,76.59999847,79.59999847,25.29644269,74.70355731,34.97409326,65.02590674,29.62962963,70.37037037
Ukraine,67,&#36;,,54.97531,45.02469,62.59999847,73.30000305,38.3144979,61.6855021,12.08530806,87.91469194,10.52631579,89.47368421
United Arab Emirates,119,&#36;,,55.56421,44.43579,46.79999924,92.30000305,9.941944848,90.05805515,17.5,82.5,16.66666667,83.33333333
United Kingdom,18,&#163;,0.825,57.0503,42.9497,70.30000305,82.09999847,35.28251065,64.71748935,29.38461538,70.61538462,22.72727273,77.27272727
United States,28,&#36;,0.821,58.38001,41.61999,66.09999847,77.30000305,43.41493375,56.58506625,19.35483871,80.64516129,26.08695652,73.91304348
Uruguay,93,&#36;,,,,67.40000153,85.80000305,30.89430894,68.83468835,16.16161616,83.83838384,14.28571429,85.71428571
Venezuela,78,&#36;,,,,54.79999924,82.69999695,30.67846608,69.32153392,16.96969697,83.03030303,23.33333333,76.66666667
Vietnam,83,&#36;,,42.9896,57.0104,78.90000153,85.5,24.3738657,75.6261343,24.29718876,75.70281124,9.090909091,90.90909091
Yemen,145,&#36;,,,,26.39999962,74.30000305,2.135231317,97.86476868,0,100,9.677419355,90.32258065
Zambia,116,&#36;,,,,73.30000305,86,19,81,12.65822785,87.34177215,20,80
Zimbabwe,57,&#36;,,47.55445,52.44555,84.80000305,90.69999695,20.6132879,79.55706985,31.48148148,68.51851852,11.53846154,88.46153846
